Entidad Federativa,Municipio,CVEGEO,Rango de pobreza (%),Rango de pobreza extrema (%)
Aguascalientes,Aguascalientes,0100100010229,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010233,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010286,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010290,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010303,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010322,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010337,"(50, 70]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010341,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010356,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010360,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010375,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001038A,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010407,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010411,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010426,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010430,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010445,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001045A,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010464,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010483,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010498,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010500,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010515,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001052A,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010534,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010549,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010553,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010568,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010572,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010587,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010591,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010604,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010619,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010623,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010638,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010642,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010657,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010676,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010680,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010695,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010708,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010712,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010727,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010731,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010746,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001077A,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010784,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010799,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010801,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010816,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010820,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010835,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001084A,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010854,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010869,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010873,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010888,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010892,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010905,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001091A,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010939,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010962,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010977,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100011299,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100011316,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100011320,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001134A,Sin viviendas particulares habitadas,Sin viviendas particulares habitadas
Aguascalientes,Aguascalientes,0100100011354,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100011373,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100011392,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100011405,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100011439,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100011458,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100011462,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100011477,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100011509,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100011528,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100011547,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100011551,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001159A,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100011636,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100011674,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100011689,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100011693,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100011710,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100011744,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100011782,Sin viviendas particulares habitadas,Sin viviendas particulares habitadas
Aguascalientes,Aguascalientes,0100100011956,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100011960,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100011975,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001198A,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100011994,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012009,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012013,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012028,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012032,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012047,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012051,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012066,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012070,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012085,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001209A,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012102,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012117,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012121,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012136,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012140,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012155,"(50, 70]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001216A,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012174,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012189,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012193,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012206,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012210,"(50, 70]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012225,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012259,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012263,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012278,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012282,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012297,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001230A,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012314,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012329,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012333,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012348,"(50, 70]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012352,"(50, 70]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012367,"(50, 70]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012371,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012386,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012390,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012403,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012422,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012456,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012460,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012475,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001248A,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012494,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012507,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012511,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012526,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001255A,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012564,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012579,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012583,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012598,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012600,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001262A,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012634,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012649,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012668,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012672,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012687,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012691,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012704,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012719,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012723,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012761,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012780,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012795,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012808,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012812,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012831,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012846,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012850,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012865,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001287A,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012884,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012920,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012935,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001294A,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012954,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012969,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012973,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012988,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100012992,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013011,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013045,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001305A,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013064,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013079,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013083,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013098,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013115,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013149,"(50, 70]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013153,"(50, 70]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013168,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013172,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013187,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013191,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013204,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013219,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013223,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013238,"(50, 70]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013242,"(50, 70]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013257,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013261,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013276,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013280,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013295,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013308,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013312,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013327,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013331,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013346,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013350,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013365,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001337A,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013399,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013401,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013454,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013488,Sin viviendas particulares habitadas,Sin viviendas particulares habitadas
Aguascalientes,Aguascalientes,0100100013492,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013505,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001351A,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013524,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013539,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013562,"(70, 100]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013577,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013581,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013596,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013609,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013613,"(50, 70]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013670,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013685,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001369A,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013702,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013717,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013721,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013736,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013740,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013755,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001376A,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013774,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013789,"(50, 70]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013793,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013806,"(50, 70]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013810,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013825,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001383A,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013844,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013859,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013863,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013878,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013882,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013897,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001390A,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013914,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013971,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013986,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100013990,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014005,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001401A,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014024,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014039,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014043,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014058,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014062,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014077,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014081,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014096,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014109,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014113,"(50, 70]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014128,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014132,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014147,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014151,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014202,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014217,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014236,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014240,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014255,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001426A,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014306,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014325,"(50, 70]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014344,Sin viviendas particulares habitadas,Sin viviendas particulares habitadas
Aguascalientes,Aguascalientes,0100100014359,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014363,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014378,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100014397,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001440A,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100102394185,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010239419A,"(50, 70]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100102933666,"(70, 100]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100102933929,"(70, 100]","(20, 50]"
Aguascalientes,Aguascalientes,0100103574166,"(70, 100]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100103574170,"(50, 70]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100103574289,"(70, 100]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100103574293,Sin viviendas particulares habitadas,Sin viviendas particulares habitadas
Aguascalientes,Aguascalientes,0100103574382,Sin viviendas particulares habitadas,Sin viviendas particulares habitadas
Aguascalientes,Aguascalientes,0100104792742,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100104792757,"(50, 70]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100104792899,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100104793416,Sin viviendas particulares habitadas,Sin viviendas particulares habitadas
Aguascalientes,Aguascalientes,010010479344A,Sin viviendas particulares habitadas,Sin viviendas particulares habitadas
Aguascalientes,Aguascalientes,0100104793933,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100110253948,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100110253952,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100110253967,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Asientos,0100200010122,"(34, 50]","[ 0, 20]"
Aguascalientes,Asientos,0100200010334,"(50, 70]","[ 0, 20]"
Aguascalientes,Asientos,0100200010349,"(34, 50]","[ 0, 20]"
Aguascalientes,Asientos,0100200110156,"(50, 70]","[ 0, 20]"
Aguascalientes,Asientos,0100200110160,"(70, 100]","[ 0, 20]"
Aguascalientes,Asientos,010020011025A,Sin viviendas particulares habitadas,Sin viviendas particulares habitadas
Aguascalientes,Asientos,0100200110353,Sin viviendas particulares habitadas,Sin viviendas particulares habitadas
Aguascalientes,Asientos,0100200590086,"(50, 70]","[ 0, 20]"
Aguascalientes,Asientos,0100200590211,Sin viviendas particulares habitadas,Sin viviendas particulares habitadas
Aguascalientes,Asientos,0100200590283,"(50, 70]","[ 0, 20]"
Aguascalientes,Asientos,0100200590298,"(50, 70]","[ 0, 20]"
Aguascalientes,Asientos,0100200590368,Sin viviendas particulares habitadas,Sin viviendas particulares habitadas
Aguascalientes,Asientos,0100200590372,"(70, 100]","[ 0, 20]"
Aguascalientes,Calvillo,0100300010153,"(50, 70]","[ 0, 20]"
Aguascalientes,Calvillo,0100300010168,Sin viviendas particulares habitadas,Sin viviendas particulares habitadas
Aguascalientes,Calvillo,0100300010187,"(34, 50]","[ 0, 20]"
Aguascalientes,Calvillo,0100300010191,"(50, 70]","[ 0, 20]"
Aguascalientes,Calvillo,0100300010204,"(50, 70]","[ 0, 20]"
Aguascalientes,Calvillo,0100300010219,"(50, 70]","[ 0, 20]"
Aguascalientes,Calvillo,0100300010223,"(50, 70]","[ 0, 20]"
Aguascalientes,Calvillo,0100300010280,"(34, 50]","[ 0, 20]"
Aguascalientes,Calvillo,0100300010295,Sin viviendas particulares habitadas,Sin viviendas particulares habitadas
Aguascalientes,Calvillo,0100300010308,"(18, 34]","[ 0, 20]"
Aguascalientes,Calvillo,0100300550079,"(50, 70]","[ 0, 20]"
Aguascalientes,Calvillo,0100300550172,"(70, 100]","[ 0, 20]"
Aguascalientes,Calvillo,0100300550238,Sin viviendas particulares habitadas,Sin viviendas particulares habitadas
Aguascalientes,Calvillo,0100300550242,"(70, 100]","[ 0, 20]"
Aguascalientes,Calvillo,0100300550257,"(50, 70]","[ 0, 20]"
Aguascalientes,Calvillo,0100300550261,"(70, 100]","[ 0, 20]"
Aguascalientes,Calvillo,0100300550276,Sin viviendas particulares habitadas,Sin viviendas particulares habitadas
Aguascalientes,Cosío,0100400010080,"(34, 50]","[ 0, 20]"
Aguascalientes,Cosío,0100400010108,"(34, 50]","[ 0, 20]"
Aguascalientes,Cosío,0100400010112,"(18, 34]","[ 0, 20]"
Aguascalientes,Cosío,0100400010127,"(34, 50]","[ 0, 20]"
Aguascalientes,Cosío,0100400010131,"(34, 50]","[ 0, 20]"
Aguascalientes,Jesús María,0100500010020,"(34, 50]","[ 0, 20]"
Aguascalientes,Jesús María,0100500010158,"(18, 34]","[ 0, 20]"
Aguascalientes,Jesús María,0100500010177,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Jesús María,0100500010228,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Jesús María,0100500010247,"(18, 34]","[ 0, 20]"
Aguascalientes,Jesús María,0100500010251,"(18, 34]","[ 0, 20]"
Aguascalientes,Jesús María,0100500010355,"(18, 34]","[ 0, 20]"
